Custos médios e índices, segundo as áreas geográficas
 Unidade Geográfica;Custo médio m² - moeda corrente-Reais;Custo médio m² - número-índice-Número-índice;Custo médio m² - variação percentual em doze meses-%;Custo médio m² - variação percentual no ano-%;Custo médio m² - variação percentual no mês-%
Acre;1433.58;760.94;10.54;2.53;0.62
Alagoas;1253.77;626.4;19.04;8.5;2.16
Amapá;1328.81;645.41;12.93;4.85;0.28
Amazonas;1317.45;645;14.81;3.8;1.16
Bahia;1349.92;714.51;22.85;7.98;2.51
Brasil;1363.41;682.34;16.31;6.81;1.87
Ceará;1267.24;731.89;16.7;7.15;2.25
Centro-Oeste;1330.39;679.17;13.15;5.52;0.61
Distrito Federal;1388.6;613.27;13.14;4.87;0.6
Espírito Santo;1237.67;686.65;17.07;5.44;0.9
Goiás;1328.72;701.97;13.83;3.88;0.36
Maranhão;1322.24;696.54;17.27;8.83;2.48
Mato Grosso;1326.75;756.97;13.16;8.16;0.95
Mato Grosso do Sul;1256;590.72;11.69;4.85;0.45
Minas Gerais;1352.38;744.22;20.28;10.98;2.85
Nordeste;1293.48;698.69;19.05;7.69;2.23
Norte;1351.76;673.5;14.58;4.8;1.49
Paraná;1400.86;669.86;17.68;7.64;2.33
Paraíba;1327.26;734.02;18.56;7.93;2.03
Pará;1350.84;647.62;16.33;6.16;2.04
Pernambuco;1242.31;664.26;18.42;6.78;2.37
Piauí;1286.48;854.98;16.41;6.2;0.62
Rio Grande do Norte;1214.28;612.03;15.12;7.49;1.68
Rio Grande do Sul;1370.42;621.92;15.51;6.08;2.05
Rio de Janeiro;1474.57;672.07;11.71;5.12;1.88
Rondônia;1360.44;758.59;9.95;2.14;0.89
Roraima;1402.91;582.67;14.52;4.69;1.71
Santa Catarina;1514.03;820.02;13.13;5.18;1.34
Sergipe;1213.66;644.91;21.25;8.33;1.59
Sudeste;1412.62;676.41;15.65;7.03;1.95
Sul;1422.44;680.24;15.8;6.52;1.97
São Paulo;1438.12;649.56;14.71;5.79;1.56
Tocantins;1374.87;722.82;14.26;5.16;1.82

Fonte: "IBGE - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil"